fixture_id,match_date,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,outcome,total_goals,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_form,away_form,home_avg_goals_for,home_avg_goals_against,away_avg_goals_for,away_avg_goals_against,home_clean_sheets,away_clean_sheets
863449,2022-09-25T21:00:00+00:00,2022,2nd Phase - 21,436,Racing Club,441,Union Santa Fe,2,1,H,3,2,22,50,32,17,-8,LWWWD,LDDLW,1.8636363636363635,0.6363636363636364,0.9047619047619048,1.2857142857142858,14,3
863458,2022-09-25T23:30:00+00:00,2022,2nd Phase - 21,438,Velez Sarsfield,2432,Barracas Central,1,0,H,1,26,17,28,34,-3,-6,WLWWL,DWDDL,1.4,0.8,0.95,1.6,7,3
863452,2022-09-25T23:30:00+00:00,2022,2nd Phase - 21,455,Atletico Tucuman,450,Estudiantes L.P.,3,1,H,4,5,18,46,33,10,-12,LDDLW,WLLWL,1.4761904761904763,1.0,1.25,1.95,8,3
863453,2022-09-26T20:00:00+00:00,2022,2nd Phase - 21,448,Colon Santa Fe,458,Argentinos JRS,0,4,A,4,25,8,29,42,-12,9,DLLWW,WDDDW,1.0952380952380953,1.4761904761904763,1.35,1.1,4,7
863460,2022-09-26T20:00:00+00:00,2022,2nd Phase - 21,463,Aldosivi,1065,Central Cordoba de Santiago,0,3,A,3,28,16,16,34,-32,-3,LLLLW,LWLLL,0.85,1.35,1.1428571428571428,1.380952380952381,5,5
863467,2022-09-29T18:30:00+00:00,2022,2nd Phase - 22,2432,Barracas Central,434,Gimnasia L.P.,1,1,D,2,17,9,34,41,-6,8,DWDDL,LLDLW,1.380952380952381,1.380952380952381,1.1428571428571428,1.1428571428571428,3,8
863473,2022-09-30T22:00:00+00:00,2022,2nd Phase - 22,450,Estudiantes L.P.,448,Colon Santa Fe,2,4,A,6,18,25,33,29,-12,-12,WLLWL,DLLWW,1.7142857142857142,1.0,0.95,1.2,7,3
863466,2022-09-30T22:00:00+00:00,2022,2nd Phase - 22,452,Tigre,463,Aldosivi,3,0,H,3,7,28,43,16,9,-32,LWWWD,LLLLW,1.5,0.8,0.7272727272727273,1.9090909090909092,8,4
863476,2022-10-01T00:30:00+00:00,2022,2nd Phase - 22,436,Racing Club,437,Rosario Central,4,3,H,7,2,20,50,32,17,-4,LWWWD,DWDDD,1.8636363636363635,0.6363636363636364,0.9,1.45,14,5
863463,2022-10-01T00:30:00+00:00,2022,2nd Phase - 22,441,Union Santa Fe,457,Newells Old Boys,0,1,A,1,22,11,32,40,-8,4,LDDLW,DWLWD,1.0,1.1,1.0,1.0952380952380953,9,7
863475,2022-10-01T16:00:00+00:00,2022,2nd Phase - 22,1064,Platense,442,Defensa Y Justicia,0,0,D,0,19,12,32,40,-2,2,DLLLL,WWWDD,0.8095238095238095,0.7619047619047619,1.2857142857142858,1.2857142857142858,9,3
863465,2022-10-01T16:00:00+00:00,2022,2nd Phase - 22,1065,Central Cordoba de Santiago,474,Sarmiento Junin,0,0,D,0,16,21,34,32,-3,-5,LWLLL,DLLDD,1.35,1.55,0.7142857142857143,1.1904761904761905,6,6
863470,2022-10-01T18:30:00+00:00,2022,2nd Phase - 22,460,San Lorenzo,445,Huracan,1,0,H,1,6,4,43,47,10,14,WWWWD,LWWDW,1.2857142857142858,1.0952380952380953,0.9523809523809523,1.0952380952380953,6,7
863469,2022-10-01T21:00:00+00:00,2022,2nd Phase - 22,449,Banfield,439,Godoy Cruz,1,1,D,2,24,15,30,35,-6,-4,DLWLL,LLDLD,1.1428571428571428,1.3333333333333333,1.1428571428571428,1.7142857142857142,4,2
863464,2022-10-01T23:30:00+00:00,2022,2nd Phase - 22,459,Arsenal Sarandi,453,Independiente,0,1,A,1,23,14,30,35,-1,0,WLWLD,DWDLL,1.3,1.05,1.1428571428571428,1.4285714285714286,6,5
863474,2022-10-02T18:30:00+00:00,2022,2nd Phase - 22,444,Patronato,455,Atletico Tucuman,2,1,H,3,10,5,40,46,4,10,WWWLL,LDDLW,1.0476190476190477,1.0476190476190477,0.7,1.2,8,6
863468,2022-10-02T21:00:00+00:00,2022,2nd Phase - 22,451,Boca Juniors,438,Velez Sarsfield,1,0,H,1,1,26,52,28,6,-3,DWLWW,WLWWL,1.565217391304348,0.9565217391304348,0.7142857142857143,1.380952380952381,8,2
863471,2022-10-02T21:30:00+00:00,2022,2nd Phase - 22,456,Talleres Cordoba,446,Lanus,0,1,A,1,13,27,35,21,2,-18,WDWLW,DLLLL,1.1904761904761905,1.0952380952380953,0.9523809523809523,1.7142857142857142,8,2
863472,2022-10-02T23:30:00+00:00,2022,2nd Phase - 22,458,Argentinos JRS,435,River Plate,0,3,A,3,8,3,42,47,9,21,WDDDW,WLWWW,1.2857142857142858,0.8571428571428571,1.6666666666666667,0.6666666666666666,7,10
863477,2022-10-03T23:00:00+00:00,2022,2nd Phase - 23,437,Rosario Central,441,Union Santa Fe,1,1,D,2,20,22,32,32,-4,-8,DWDDD,LDDLW,1.0476190476190477,0.9047619047619048,0.9047619047619048,1.2857142857142858,8,3
863487,2022-10-04T17:00:00+00:00,2022,2nd Phase - 23,463,Aldosivi,2432,Barracas Central,2,0,H,2,28,17,16,34,-32,-6,LLLLW,DWDDL,0.85,1.35,0.95,1.6,5,3
863484,2022-10-04T19:30:00+00:00,2022,2nd Phase - 23,439,Godoy Cruz,460,San Lorenzo,0,0,D,0,15,6,35,43,-4,10,LLDLD,WWWWD,1.1,0.85,1.05,0.85,8,9
863490,2022-10-04T19:30:00+00:00,2022,2nd Phase - 23,457,Newells Old Boys,459,Arsenal Sarandi,0,0,D,0,11,23,40,30,4,-1,DWLWD,WLWLD,1.1,0.7,1.0476190476190477,1.2857142857142858,12,4
863488,2022-10-04T22:00:00+00:00,2022,2nd Phase - 23,474,Sarmiento Junin,452,Tigre,2,2,D,4,21,7,32,43,-5,9,DLLDD,LWWWD,1.45,1.55,1.3043478260869565,1.391304347826087,5,5
863485,2022-10-05T00:30:00+00:00,2022,2nd Phase - 23,438,Velez Sarsfield,449,Banfield,1,0,H,1,26,24,28,30,-3,-6,WLWWL,DLWLL,1.4,0.8,0.85,0.8,7,10
863480,2022-10-05T19:30:00+00:00,2022,2nd Phase - 23,448,Colon Santa Fe,444,Patronato,1,0,H,1,25,10,29,40,-12,4,DLLWW,WWWLL,1.0952380952380953,1.4761904761904763,0.95,1.5,4,3
863478,2022-10-05T22:00:00+00:00,2022,2nd Phase - 23,442,Defensa Y Justicia,436,Racing Club,3,3,D,6,12,2,40,50,2,17,WWWDD,LWWWD,1.3333333333333333,1.0,1.5,1.0,6,8
863479,2022-10-05T22:00:00+00:00,2022,2nd Phase - 23,455,Atletico Tucuman,1064,Platense,2,1,H,3,5,19,46,32,10,-2,LDDLW,DLLLL,1.4761904761904763,1.0,0.9,1.6,8,3
863481,2022-10-06T00:30:00+00:00,2022,2nd Phase - 23,435,River Plate,450,Estudiantes L.P.,5,0,H,5,3,18,47,33,21,-12,WLWWW,WLLWL,1.9047619047619047,1.0476190476190477,1.25,1.95,6,3
863489,2022-10-06T00:30:00+00:00,2022,2nd Phase - 23,453,Independiente,1065,Central Cordoba de Santiago,1,2,A,3,14,16,35,34,0,-3,DWDLL,LWLLL,1.2,0.95,1.1428571428571428,1.380952380952381,7,5
863483,2022-10-06T22:00:00+00:00,2022,2nd Phase - 23,445,Huracan,456,Talleres Cordoba,1,0,H,1,4,13,47,35,14,2,LWWDW,WDWLW,1.6,0.85,0.6,1.2,9,3
863482,2022-10-06T22:00:00+00:00,2022,2nd Phase - 23,446,Lanus,458,Argentinos JRS,0,4,A,4,27,8,21,42,-18,9,DLLLL,WDDDW,0.95,1.1,1.35,1.1,6,7
863494,2022-10-08T16:00:00+00:00,2022,2nd Phase - 24,2432,Barracas Central,474,Sarmiento Junin,1,1,D,2,17,21,34,32,-6,-5,DWDDL,DLLDD,1.380952380952381,1.380952380952381,0.7142857142857143,1.1904761904761905,3,6
863497,2022-10-08T19:00:00+00:00,2022,2nd Phase - 24,460,San Lorenzo,438,Velez Sarsfield,1,0,H,1,6,26,43,28,10,-3,WWWWD,WLWWL,1.2857142857142858,1.0952380952380953,0.7142857142857143,1.380952380952381,6,2
863491,2022-10-08T21:15:00+00:00,2022,2nd Phase - 24,441,Union Santa Fe,459,Arsenal Sarandi,1,0,H,1,22,23,32,30,-8,-1,LDDLW,WLWLD,1.0,1.1,1.0476190476190477,1.2857142857142858,9,4
